Comparison,Metric,Plugin_Delta,CI_Lower,CI_Upper,P_Value,B
v2_minus_Single_LightGBM,AUC,-0.0003,-0.001,0.0004,0.405,2000
v2_minus_Single_LightGBM,DPD,0.0048,0.0012,0.0085,0.015,2000
v2_minus_Single_LightGBM,DPR,-0.0121,-0.0161,-0.0085,0.0005,2000
v2_minus_Single_LightGBM,EOD,0.0046,0.0005,0.0089,0.029,2000
v2_minus_Single_LightGBM,NetBenefit_pt10,0.0002,-0.0003,0.0007,0.502,2000
v2_minus_Single_LightGBM,NetBenefit_pt15,0.0002,-0.0004,0.0008,0.549,2000
v1_minus_Single_LightGBM,AUC,-0.1241,-0.1294,-0.1186,0.0005,2000
v1_minus_Single_LightGBM,DPD,-0.2586,-0.2702,-0.2472,0.0005,2000
v1_minus_Single_LightGBM,DPR,0.4401,0.4248,0.4566,0.0005,2000
v1_minus_Single_LightGBM,EOD,-0.203,-0.2242,-0.1807,0.0005,2000
v1_minus_Single_LightGBM,NetBenefit_pt10,-0.0211,-0.0222,-0.02,0.0005,2000
v1_minus_Single_LightGBM,NetBenefit_pt15,-0.0359,-0.0374,-0.0345,0.0005,2000
v2_minus_v1,AUC,0.1238,0.1183,0.1291,0.0005,2000
v2_minus_v1,DPD,0.2633,0.2527,0.2746,0.0005,2000
v2_minus_v1,DPR,-0.4523,-0.4688,-0.4371,0.0005,2000
v2_minus_v1,EOD,0.2076,0.1848,0.229,0.0005,2000
v2_minus_v1,NetBenefit_pt10,0.0213,0.0202,0.0223,0.0005,2000
v2_minus_v1,NetBenefit_pt15,0.0361,0.0347,0.0375,0.0005,2000
Reweighing_minus_Single_LightGBM,AUC,-0.0101,-0.011,-0.0093,0.0005,2000
Reweighing_minus_Single_LightGBM,DPD,-0.1676,-0.1735,-0.1618,0.0005,2000
Reweighing_minus_Single_LightGBM,DPR,0.2484,0.2389,0.2583,0.0005,2000
Reweighing_minus_Single_LightGBM,EOD,-0.1726,-0.1794,-0.1659,0.0005,2000
Reweighing_minus_Single_LightGBM,NetBenefit_pt10,-0.0014,-0.0021,-0.0006,0.0005,2000
Reweighing_minus_Single_LightGBM,NetBenefit_pt15,-0.002,-0.003,-0.0011,0.0005,2000
Reweighing_minus_v2,AUC,-0.0098,-0.0109,-0.0087,0.0005,2000
Reweighing_minus_v2,DPD,-0.1724,-0.1782,-0.1665,0.0005,2000
Reweighing_minus_v2,DPR,0.2605,0.2508,0.2705,0.0005,2000
Reweighing_minus_v2,EOD,-0.1772,-0.1837,-0.1704,0.0005,2000
Reweighing_minus_v2,NetBenefit_pt10,-0.0015,-0.0023,-0.0008,0.0005,2000
Reweighing_minus_v2,NetBenefit_pt15,-0.0022,-0.0032,-0.0013,0.0005,2000
