Architecture,Metric,Plugin_Estimate,Boot_Mean,Boot_SE,CI_Lower,CI_Upper,B,Threshold_Rule
Single_LightGBM,AUC,0.8263,0.8263,0.0024,0.8217,0.8308,2000,Validation_Youden_J (theta=0.1363)
Single_LightGBM,DPD,0.2909,0.2909,0.0049,0.2813,0.3006,2000,Validation_Youden_J (theta=0.1363)
Single_LightGBM,DPR,0.5059,0.506,0.0054,0.4954,0.5165,2000,Validation_Youden_J (theta=0.1363)
Single_LightGBM,EOD,0.2576,0.2575,0.0058,0.2462,0.2687,2000,Validation_Youden_J (theta=0.1363)
Single_LightGBM,NetBenefit_pt10,0.0847,0.0847,0.0006,0.0835,0.0859,2000,Validation_Youden_J (theta=0.1363)
Single_LightGBM,NetBenefit_pt15,0.0663,0.0663,0.0008,0.0647,0.0678,2000,Validation_Youden_J (theta=0.1363)
PreProcessing_Reweighing,AUC,0.8162,0.8162,0.0025,0.8114,0.8208,2000,Validation_Youden_J (theta=0.1189)
PreProcessing_Reweighing,DPD,0.1234,0.1234,0.005,0.1135,0.133,2000,Validation_Youden_J (theta=0.1189)
PreProcessing_Reweighing,DPR,0.7543,0.7542,0.0081,0.7387,0.7705,2000,Validation_Youden_J (theta=0.1189)
PreProcessing_Reweighing,EOD,0.085,0.085,0.0058,0.0739,0.0967,2000,Validation_Youden_J (theta=0.1189)
PreProcessing_Reweighing,NetBenefit_pt10,0.0834,0.0834,0.0006,0.0821,0.0846,2000,Validation_Youden_J (theta=0.1189)
PreProcessing_Reweighing,NetBenefit_pt15,0.0642,0.0642,0.0008,0.0627,0.0658,2000,Validation_Youden_J (theta=0.1189)
InProcessing_ExpGrad_DP,AUC,0.5576,0.5576,0.002,0.5536,0.5616,2000,Validation_Youden_J (theta=0.0917)
InProcessing_ExpGrad_DP,DPD,0.0217,0.0216,0.0021,0.0175,0.0259,2000,Validation_Youden_J (theta=0.0917)
InProcessing_ExpGrad_DP,DPR,0.5601,0.5619,0.028,0.5086,0.6176,2000,Validation_Youden_J (theta=0.0917)
InProcessing_ExpGrad_DP,EOD,0.0118,0.0127,0.0028,0.0086,0.0207,2000,Validation_Youden_J (theta=0.0917)
InProcessing_ExpGrad_DP,NetBenefit_pt10,0.0155,0.0155,0.0005,0.0145,0.0166,2000,Validation_Youden_J (theta=0.0917)
InProcessing_ExpGrad_DP,NetBenefit_pt15,0.0147,0.0147,0.0005,0.0136,0.0158,2000,Validation_Youden_J (theta=0.0917)
PostProcessing_ThresholdOptimizer,AUC,0.8263,0.8263,0.0024,0.8217,0.8308,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
PostProcessing_ThresholdOptimizer,DPD,0.0491,0.0491,0.0049,0.04,0.0589,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
PostProcessing_ThresholdOptimizer,DPR,0.8863,0.8864,0.0103,0.8657,0.9061,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
PostProcessing_ThresholdOptimizer,EOD,0.0069,0.0113,0.0069,0.0017,0.0282,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
PostProcessing_ThresholdOptimizer,NetBenefit_pt10,0.0741,0.0741,0.0008,0.0727,0.0756,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
PostProcessing_ThresholdOptimizer,NetBenefit_pt15,0.0553,0.0553,0.0008,0.0538,0.0569,2000,Group_Specific_EqualizedOdds_Threshold_Policy (BalAcc)
v1_Hard_Cluster,AUC,0.7022,0.7023,0.0028,0.6969,0.7076,2000,Validation_Youden_J (theta=0.2470)
v1_Hard_Cluster,DPD,0.0324,0.0322,0.0052,0.022,0.0425,2000,Validation_Youden_J (theta=0.2470)
v1_Hard_Cluster,DPR,0.946,0.9464,0.0083,0.9301,0.9629,2000,Validation_Youden_J (theta=0.2470)
v1_Hard_Cluster,EOD,0.0546,0.055,0.0094,0.0369,0.0737,2000,Validation_Youden_J (theta=0.2470)
v1_Hard_Cluster,NetBenefit_pt10,0.0637,0.0637,0.0003,0.0631,0.0642,2000,Validation_Youden_J (theta=0.2470)
v1_Hard_Cluster,NetBenefit_pt15,0.0303,0.0303,0.0005,0.0294,0.0313,2000,Validation_Youden_J (theta=0.2470)
v2_Hierarchical_MoE,AUC,0.8261,0.826,0.0024,0.8213,0.8306,2000,Validation_Youden_J (theta=0.1485)
v2_Hierarchical_MoE,DPD,0.2957,0.2957,0.0049,0.2861,0.3047,2000,Validation_Youden_J (theta=0.1485)
v2_Hierarchical_MoE,DPR,0.4938,0.4939,0.0053,0.4839,0.5042,2000,Validation_Youden_J (theta=0.1485)
v2_Hierarchical_MoE,EOD,0.2622,0.2621,0.0058,0.2507,0.2733,2000,Validation_Youden_J (theta=0.1485)
v2_Hierarchical_MoE,NetBenefit_pt10,0.0849,0.0849,0.0006,0.0837,0.086,2000,Validation_Youden_J (theta=0.1485)
v2_Hierarchical_MoE,NetBenefit_pt15,0.0664,0.0664,0.0008,0.0649,0.0679,2000,Validation_Youden_J (theta=0.1485)
