Threshold_pt,Treat_All,Treat_None,Net_Benefit_Single_LightGBM,Net_Benefit_InProcessing_ExpGrad_DP,Net_Benefit_v1_Hard_Cluster,Net_Benefit_v2_Hierarchical_MoE
0.01,0.130635,0.0,0.131417,0.018168,0.13066,0.131406
0.02,0.121764,0.0,0.124593,0.018022,0.122301,0.124521
0.03,0.11271,0.0,0.118261,0.017873,0.114246,0.118179
0.04,0.103468,0.0,0.112661,0.017722,0.106344,0.112488
0.05,0.094031,0.0,0.107277,0.017567,0.098791,0.107028
0.06,0.084393,0.0,0.101951,0.017408,0.091362,0.101848
0.07,0.074547,0.0,0.097364,0.017247,0.08425,0.097094
0.08,0.064488,0.0,0.092913,0.017082,0.077219,0.092938
0.09,0.054208,0.0,0.088683,0.016913,0.070191,0.089122
0.1,0.043699,0.0,0.084744,0.015527,0.063667,0.084921
0.11,0.032954,0.0,0.080552,0.015367,0.057009,0.080755
0.12,0.021965,0.0,0.076868,0.015203,0.050426,0.077035
0.13,0.010723,0.0,0.073582,0.015036,0.043775,0.073414
0.14,-0.00078,0.0,0.069855,0.014865,0.036985,0.069789
0.15,-0.012554,0.0,0.06626,0.01469,0.030328,0.066445
0.16,-0.024608,0.0,0.063169,0.01451,0.023657,0.063019
0.17,-0.036953,0.0,0.060012,0.014326,0.017219,0.059497
0.18,-0.049599,0.0,0.056499,0.014138,0.010788,0.056974
0.19,-0.062557,0.0,0.053577,0.013945,0.004051,0.053987
0.2,-0.075839,0.0,0.05132,0.013748,-0.002242,0.050975
0.21,-0.089457,0.0,0.048642,0.013545,-0.008778,0.048139
0.22,-0.103424,0.0,0.04592,0.013337,-0.015058,0.045559
0.23,-0.117754,0.0,0.043431,0.013124,-0.021752,0.042982
0.24,-0.132462,0.0,0.041045,0.012905,-0.0283,0.040839
0.25,-0.147561,0.0,0.038474,0.01268,-0.03467,0.038848
0.26,-0.163069,0.0,0.036498,0.012449,-0.041011,0.036186
0.27,-0.179001,0.0,0.034477,0.012212,-0.047245,0.033882
0.28,-0.195376,0.0,0.032117,0.011968,-0.053246,0.032162
0.29,-0.212213,0.0,0.030037,0.011718,-0.059233,0.030759
0.3,-0.22953,0.0,0.028084,0.01146,-0.065169,0.028971
