Seed,Lambda_Fairness,Synthesized_Config,Test_AUC,Test_Accuracy,Test_Balanced_Acc,Test_DPD,Test_EOD
42,1.0,"Clust=auto_K4, Clf=adaptive",0.8263,73.84,75.06,0.2896,0.2531
42,2.0,"Clust=auto_K4, Clf=lightgbm",0.8263,73.84,75.06,0.2896,0.2531
123,1.0,"Clust=auto_K4, Clf=lightgbm",0.8267,73.7,74.88,0.2762,0.2408
123,2.0,"Clust=auto_K4, Clf=adaptive",0.8267,73.7,74.88,0.2762,0.2408
456,1.0,"Clust=kmeans_K4, Clf=lightgbm",0.8306,70.29,75.18,0.2809,0.249
456,2.0,"Clust=kmeans_K4, Clf=lightgbm",0.8306,70.29,75.18,0.2809,0.249
789,1.0,"Clust=kmeans_K6, Clf=adaptive",0.8263,72.45,75.05,0.2893,0.2579
789,2.0,"Clust=kmeans_K6, Clf=adaptive",0.8263,72.45,75.05,0.2893,0.2579
999,1.0,"Clust=kmeans_K4, Clf=lightgbm",0.8268,69.35,75.02,0.2822,0.2561
999,2.0,"Clust=kmeans_K4, Clf=adaptive",0.8268,69.35,75.02,0.2822,0.2561
