Architecture,Metric,Point_Estimate,CI_Lower,CI_Upper,Formatted_95CI
Single_LightGBM,AUC,0.8263,0.8215,0.8308,"0.8263 [0.8215, 0.8308]"
Single_LightGBM,DPD,0.2902,0.2794,0.3006,"0.2902 [0.2794, 0.3006]"
Single_LightGBM,EOD,0.2586,0.2464,0.27,"0.2586 [0.2464, 0.2700]"
Single_LightGBM,NetBenefit_pt10,0.0837,0.0809,0.0868,"0.0837 [0.0809, 0.0868]"
InProcessing_ExpGrad_DP,AUC,0.5576,0.5538,0.5613,"0.5576 [0.5538, 0.5613]"
InProcessing_ExpGrad_DP,DPD,0.0218,0.0177,0.0261,"0.0218 [0.0177, 0.0261]"
InProcessing_ExpGrad_DP,EOD,0.0126,0.0087,0.0195,"0.0126 [0.0087, 0.0195]"
InProcessing_ExpGrad_DP,NetBenefit_pt10,0.0167,0.0156,0.0179,"0.0167 [0.0156, 0.0179]"
v1_Hard_Cluster,AUC,0.7022,0.6965,0.7079,"0.7022 [0.6965, 0.7079]"
v1_Hard_Cluster,DPD,0.0537,0.0442,0.063,"0.0537 [0.0442, 0.0630]"
v1_Hard_Cluster,EOD,0.0328,0.023,0.0447,"0.0328 [0.0230, 0.0447]"
v1_Hard_Cluster,NetBenefit_pt10,0.0684,0.0654,0.0718,"0.0684 [0.0654, 0.0718]"
v2_Hierarchical_MoE,AUC,0.826,0.8212,0.8306,"0.8260 [0.8212, 0.8306]"
v2_Hierarchical_MoE,DPD,0.299,0.2886,0.3096,"0.2990 [0.2886, 0.3096]"
v2_Hierarchical_MoE,EOD,0.2665,0.2547,0.2783,"0.2665 [0.2547, 0.2783]"
v2_Hierarchical_MoE,NetBenefit_pt10,0.0831,0.0804,0.0861,"0.0831 [0.0804, 0.0861]"
Delta_(v2_minus_SingleLightGBM),AUC,-0.0003,-0.001,0.0004,"-0.0003 [-0.0010, +0.0004] (p=0.3780)"
Delta_(v2_minus_SingleLightGBM),DPD,0.0088,0.0048,0.0126,"+0.0088 [+0.0048, +0.0126] (p=0.0000)"
Delta_(v2_minus_SingleLightGBM),EOD,0.0079,0.0033,0.0125,"+0.0079 [+0.0033, +0.0125] (p=0.0000)"
Delta_(v2_minus_SingleLightGBM),NetBenefit_pt10,-0.0006,-0.0012,-0.0001,"-0.0006 [-0.0012, -0.0001] (p=0.0360)"
Delta_(v1_minus_SingleLightGBM),AUC,-0.1241,-0.1296,-0.1178,"-0.1241 [-0.1296, -0.1178] (p=0.0000)"
Delta_(v1_minus_SingleLightGBM),DPD,-0.2365,-0.2471,-0.2257,"-0.2365 [-0.2471, -0.2257] (p=0.0000)"
Delta_(v1_minus_SingleLightGBM),EOD,-0.2258,-0.2395,-0.2101,"-0.2258 [-0.2395, -0.2101] (p=0.0000)"
Delta_(v1_minus_SingleLightGBM),NetBenefit_pt10,-0.0153,-0.0169,-0.0136,"-0.0153 [-0.0169, -0.0136] (p=0.0000)"
Delta_(v2_minus_v1),AUC,0.1238,0.1176,0.1294,"+0.1238 [+0.1176, +0.1294] (p=0.0000)"
Delta_(v2_minus_v1),DPD,0.2453,0.2343,0.2558,"+0.2453 [+0.2343, +0.2558] (p=0.0000)"
Delta_(v2_minus_v1),EOD,0.2337,0.2176,0.2476,"+0.2337 [+0.2176, +0.2476] (p=0.0000)"
Delta_(v2_minus_v1),NetBenefit_pt10,0.0147,0.0131,0.0163,"+0.0147 [+0.0131, +0.0163] (p=0.0000)"
