Architecture,Subgroup,Brier_Plugin,Brier_Boot_Mean,Brier_CI95,ECE_Plugin,ECE_Boot_Mean,ECE_CI95
Single_LightGBM,S=1 (Non-Low-Income),0.0838,0.0838,"[0.0829, 0.0847]",0.0028,0.0038,"[0.0019, 0.0060]"
Single_LightGBM,S=0 (Low-Income),0.1444,0.1444,"[0.1421, 0.1467]",0.0107,0.0126,"[0.0076, 0.0184]"
PreProcessing_Reweighing,S=1 (Non-Low-Income),0.0846,0.0846,"[0.0836, 0.0856]",0.0195,0.0196,"[0.0182, 0.0210]"
PreProcessing_Reweighing,S=0 (Low-Income),0.1521,0.1521,"[0.1503, 0.1539]",0.0716,0.0716,"[0.0694, 0.0739]"
InProcessing_ExpGrad_DP,S=1 (Non-Low-Income),0.111,0.111,"[0.1095, 0.1124]",0.111,0.1109,"[0.1095, 0.1123]"
InProcessing_ExpGrad_DP,S=0 (Low-Income),0.216,0.216,"[0.2123, 0.2197]",0.216,0.216,"[0.2121, 0.2198]"
PostProcessing_ThresholdOptimizer,S=1 (Non-Low-Income),0.0838,0.0838,"[0.0829, 0.0847]",0.0028,0.0038,"[0.0019, 0.0060]"
PostProcessing_ThresholdOptimizer,S=0 (Low-Income),0.1444,0.1444,"[0.1421, 0.1467]",0.0107,0.0126,"[0.0076, 0.0184]"
v1_Hard_Cluster,S=1 (Non-Low-Income),0.1784,0.1784,"[0.1764, 0.1803]",0.2333,0.2333,"[0.2308, 0.2358]"
v1_Hard_Cluster,S=0 (Low-Income),0.1928,0.1928,"[0.1896, 0.1960]",0.1156,0.1155,"[0.1120, 0.1192]"
v2_Hierarchical_MoE,S=1 (Non-Low-Income),0.0838,0.0838,"[0.0830, 0.0847]",0.0044,0.005,"[0.0028, 0.0073]"
v2_Hierarchical_MoE,S=0 (Low-Income),0.1448,0.1448,"[0.1427, 0.1468]",0.011,0.0136,"[0.0094, 0.0187]"
